,phrase,frequency,amount,year
7,wireless networks,40,4444235.0,2018
12,wireless networks,20,3585276.0,2016
5,wireless networks,39,563956.0,2015
14,wireless networks,28,53762867.0,2019
5,wireless networks,45,523558.0,2020
2,wireless networks,68,6357278.0,2017
7,wireless networks,29,2468446.0,2014
15,storage systems,15,9116523.0,2015
21,storage systems,12,5596447.0,2019
17,storage systems,18,9608525.0,2020
19,storage systems,9,7963764.0,2016
13,storage systems,13,15092504.0,2014
8,storage systems,30,4298991.0,2017
9,storage systems,33,4309013.0,2018
22,social media,8,11160080.0,2018
9,social media,34,3313459.0,2020
17,social media,18,5817238.0,2017
10,social media,23,3583263.0,2015
13,social media,20,11940039.0,2016
17,social media,21,13790531.0,2019
17,social media,8,678457.0,2014
15,security privacy,22,11398691.0,2017
5,security privacy,38,10644671.0,2019
17,security privacy,11,948752.0,2016
12,security privacy,14,4792154.0,2014
18,security privacy,17,7199904.0,2020
8,security privacy,34,2772948.0,2018
11,security privacy,21,6141982.0,2015
16,resource allocation,11,4478486.0,2016
16,resource allocation,25,3195365.0,2019
16,resource allocation,14,1430243.0,2015
9,resource allocation,24,3121672.0,2014
21,resource allocation,12,6373333.0,2020
9,resource allocation,30,7791731.0,2017
16,reinforcement learning,19,5495535.0,2018
19,reinforcement learning,17,6651177.0,2019
7,reinforcement learning,38,2441735.0,2020
22,reinforcement learning,9,16854841.0,2017
5,public safety,35,5163183.0,2016
18,public safety,8,7245351.0,2014
21,public safety,10,1623347.0,2017
23,public safety,7,23934854.0,2018
22,public safety,12,10798726.0,2019
26,public safety,3,10575461.0,2020
19,physical systems,7,3969357.0,2014
7,physical systems,31,5615532.0,2015
24,physical systems,5,2358822.0,2020
20,physical systems,8,1546116.0,2016
19,physical systems,11,7389942.0,2017
24,physical systems,5,3734130.0,2019
24,physical systems,6,4460667.0,2018
10,operating system,21,6115275.0,2014
18,operating system,17,6585055.0,2019
13,operating system,20,18075575.0,2018
9,operating system,29,1764511.0,2016
12,operating system,24,8655626.0,2017
22,operating system,11,14969441.0,2020
12,operating system,20,4513495.0,2015
4,mobile devices,42,9011521.0,2016
10,mobile devices,28,4433460.0,2017
2,mobile devices,55,7424073.0,2018
2,mobile devices,53,11390564.0,2014
15,mobile devices,26,5226644.0,2019
2,mobile devices,51,8024988.0,2015
19,mobile devices,16,6432776.0,2020
0,machine learning,181,13009129.0,2020
9,machine learning,29,2295655.0,2015
0,machine learning,121,21133421.0,2018
3,machine learning,43,5627655.0,2016
0,machine learning,122,20447244.0,2019
8,iot devices,38,5136936.0,2020
6,iot devices,35,1216404.0,2017
18,iot devices,10,10327075.0,2015
6,iot devices,41,13308350.0,2018
11,iot devices,29,4092360.0,2019
18,iot devices,10,8862877.0,2016
8,internet things,29,2534660.0,2015
5,internet things,38,2615465.0,2017
10,internet things,23,2454378.0,2016
11,internet things,29,1915270.0,2020
3,internet things,51,8715724.0,2018
16,internet things,9,1403561.0,2014
8,internet things,32,3390768.0,2019
14,embedded systems,15,23485339.0,2015
15,embedded systems,12,10240751.0,2016
20,embedded systems,7,2690961.0,2014
11,embedded systems,25,5113819.0,2017
19,embedded systems,13,6131500.0,2018
20,embedded systems,12,137038.0,2020
6,embedded systems,34,6249413.0,2019
4,edge computing,50,17774023.0,2020
18,edge computing,15,9012207.0,2017
15,edge computing,19,6060251.0,2018
4,edge computing,39,24031701.0,2019
2,deep learning,56,2819968.0,2020
4,deep learning,41,8878136.0,2017
22,deep learning,3,9818924.0,2016
3,deep learning,40,6887105.0,2019
5,deep learning,43,3443807.0,2018
11,data collection,22,4844730.0,2016
18,data collection,15,6428864.0,2018
13,data collection,15,24048051.0,2015
16,data collection,19,4950149.0,2020
9,data collection,32,2464092.0,2019
11,data collection,17,5789273.0,2014
20,data collection,11,1038381.0,2017
14,data center,17,17025547.0,2016
15,data center,21,4473766.0,2020
20,data center,16,356664.0,2019
6,data center,34,741540.0,2015
16,data center,20,3140285.0,2017
12,data center,21,8175860.0,2018
5,data center,34,2727695.0,2014
17,data analytics,16,10821544.0,2018
17,data analytics,13,168683.0,2015
7,data analytics,30,5525000.0,2016
13,data analytics,29,19114244.0,2019
13,data analytics,29,12009129.0,2020
14,data analytics,10,28674785.0,2014
13,data analytics,24,8934356.0,2017
2,cyber-physical systems,60,4632116.0,2019
3,cyber-physical systems,52,5160921.0,2014
12,cyber-physical systems,29,4404909.0,2020
