,phrase
0,computer science
1,machine learning
2,cyber-physical systems
3,cloud computing
4,wireless networks
5,mobile devices
6,big data
7,internet things
8,security privacy
9,deep learning
10,data center
11,data collection
12,operating system
13,iot devices
14,data analytics
15,storage systems
16,computer systems
17,resource allocation
18,social media
19,computing systems
20,open source
21,energy consumption
22,embedded systems
23,autonomous vehicles
24,edge computing
25,access control
26,energy efficiency
27,artificial intelligence
28,wireless network
29,service providers
30,sensor networks
31,systems cps
32,resource management
33,technology transfer
34,operating systems
35,data analysis
36,information technology
37,system design
38,spectrum sharing
39,computer vision
40,signal processing
41,power consumption
42,sensor data
43,wireless communication
44,social networks
45,source code
46,sensitive data
47,smart connected
48,cyber physical
49,cognitive radio
50,provide infrastructure
51,resources networking
52,end users
53,multiple local
54,reinforcement learning
55,differential privacy
56,privacy concerns
57,cellular networks
58,critical infrastructure
59,control algorithms
60,training modest
61,funding enable
62,security vulnerabilities
63,physical layer
64,power grid
65,local teams
66,marketplace sites
67,modest funding
68,groups transition
69,marketplace becoming
70,medical devices
71,sites provide
72,transition technology
73,infrastructure advice
74,advice resources
75,becoming team
76,team applicants
77,education outreach
78,include 1
79,training students
80,health care
81,software engineering
82,physical systems
83,techniques developed
84,public health
85,whose purpose
86,concepts marketplace
87,network traffic
88,across multiple
89,sites nsf-funded
90,nsf-funded entities
91,entities established
92,established universities
93,universities whose
94,purpose nurture
95,nurture multiple
96,smart grid
97,public safety
98,natural language
99,control systems
100,corps sites
101,data mining
102,minority students
103,students underrepresented
104,network security
105,develop techniques
106,science cs
107,educational activities
108,network operators
109,iot applications
110,emergency response
111,cs education
112,software defined
113,opportunities students
114,thrusts first
115,mobile users
116,network mentors
117,mentors researchers
118,improve performance
119,cyber-physical system
120,computer security
121,analysis techniques
122,transportation systems
123,widely used
124,smart cities
125,under-represented groups
126,locally regionally
127,mobile applications
128,application domains
129,better understand
130,computing resources
131,first thrust
132,three main
133,science education
134,sites strengthen
135,strengthen locally
136,regionally contribute
137,open-source software
138,thrusts 1
139,national security
140,data structures
141,wireless systems
142,dynamic spectrum
143,applications including
144,network architecture
145,data management
146,cyber security
147,wireless communications
148,educational outreach
149,software hardware
150,computational thinking
151,computing infrastructure
152,data processing
153,improve security
154,better understanding
155,computer information
156,data privacy
157,take advantage
158,low cost
159,data science
160,societal impact
161,autonomous systems
162,privacy security
163,augmented reality
164,renewable energy
165,user experience
166,smart city
167,design implement
168,security properties
169,faculty students
170,social network
171,neural networks
172,cloud services
173,mobile computing
174,academia industry
175,significantly improve
176,video streaming
177,underrepresented minorities
178,iot systems
179,data storage
180,base stations
181,programming languages
182,data sharing
183,security guarantees
184,computing platforms
185,many applications
186,control theory
187,network infrastructure
188,activities include
189,network control
190,physical world
191,unmanned aerial
192,private data
193,wireless sensor
194,mobile device
195,brbrthe proposed
196,computing devices
197,wireless devices
198,developing techniques
199,virtual reality
200,software systems
201,performance computing
202,three years
203,network protocols
204,learning models
205,different types
206,building blocks
207,data sources
208,communication networks
209,industry government
210,applicants sites
211,recent advances
212,language processing
213,orders magnitude
214,anomaly detection
215,networked systems
216,information science
217,distributed computing
218,sensitive information
219,secure computation
220,tools developed
221,network management
222,smart home
223,quality service
224,virtual machines
225,sensor network
226,power systems
227,network design
228,network performance
229,edge devices
230,communication systems
231,cellular network
232,long term
233,natural disasters
234,across different
235,team develop
236,benefit society
237,program analysis
238,train students
239,safety security
240,community engagement
241,aerial vehicles
242,data rates
243,mobile data
244,situational awareness
245,integrated education
246,bridge gap
247,health monitoring
248,system software
249,government agencies
250,2 develop
251,general public
252,software development
253,covid-19 pandemic
254,systems including
255,wireless technologies
256,processing units
257,cloud providers
258,researchers practitioners
259,low latency
260,domains including
261,develop methods
262,high-performance computing
263,engage students
264,deep neural
265,social science
266,information flow
267,advance knowledge
268,hardware security
269,data cloud
270,millimeter wave
271,education training
272,prior work
273,exploring computer
274,network services
275,significantly reduce
276,internet-of-things iot
277,around world
278,internet users
279,amounts data
280,data access
281,integrated circuits
282,real world
283,design analysis
284,algorithms developed
285,advance understanding
286,system security
287,develop algorithms
288,reduce cost
289,cs teachers
290,internet service
291,control system
292,personal data
293,projectbrbrthis foundations
294,side-channel attacks
295,security mechanisms
296,analysis tools
297,objective develop
298,north carolina
299,improve quality
300,systems security
301,web applications
302,design develop
303,engineering mathematics
304,formal methods
305,radio frequency
306,proposed techniques
307,private information
308,high-school students
309,use cases
310,tools techniques
311,2 design
312,game theory
313,students faculty
314,computational resources
315,cloud storage
316,file system
317,computer scientists
318,three thrusts
319,1 develop
