,phrase,frequency
0,computer science,952
1,machine learning,737
2,cyber-physical systems,455
3,cloud computing,412
4,wireless networks,387
5,mobile devices,355
6,big data,314
7,internet things,235
8,security privacy,229
9,deep learning,224
10,data center,209
11,data collection,195
12,operating system,193
13,iot devices,181
14,data analytics,178
15,storage systems,167
16,computer systems,165
17,resource allocation,163
18,social media,163
19,computing systems,159
20,open source,154
21,energy consumption,150
22,embedded systems,146
23,autonomous vehicles,145
24,edge computing,144
25,access control,143
26,energy efficiency,142
27,artificial intelligence,141
28,wireless network,137
29,service providers,131
30,sensor networks,129
31,systems cps,128
32,resource management,126
33,technology transfer,126
34,operating systems,124
35,data analysis,119
36,information technology,116
37,system design,116
38,spectrum sharing,111
39,computer vision,110
40,signal processing,110
41,power consumption,109
42,sensor data,108
43,wireless communication,107
44,social networks,106
45,source code,104
46,sensitive data,102
47,smart connected,102
48,cyber physical,101
49,cognitive radio,99
50,provide infrastructure,99
51,resources networking,99
52,end users,98
53,multiple local,98
54,reinforcement learning,97
55,differential privacy,97
56,privacy concerns,96
57,cellular networks,96
58,critical infrastructure,96
59,control algorithms,96
60,training modest,96
61,funding enable,96
62,security vulnerabilities,95
63,physical layer,95
64,power grid,95
65,local teams,95
66,marketplace sites,95
67,modest funding,95
68,groups transition,95
69,marketplace becoming,95
70,medical devices,94
71,sites provide,94
72,transition technology,94
73,infrastructure advice,94
74,advice resources,94
75,becoming team,94
76,team applicants,94
77,education outreach,93
78,include 1,93
79,training students,93
80,health care,93
81,software engineering,93
82,physical systems,93
83,techniques developed,92
84,public health,92
85,whose purpose,92
86,concepts marketplace,92
87,network traffic,91
88,across multiple,91
89,sites nsf-funded,91
90,nsf-funded entities,91
91,entities established,91
92,established universities,91
93,universities whose,91
94,purpose nurture,91
95,nurture multiple,91
96,smart grid,90
97,public safety,90
98,natural language,89
99,control systems,89
100,corps sites,89
101,data mining,88
102,minority students,87
103,students underrepresented,85
104,network security,85
105,develop techniques,85
106,science cs,85
107,educational activities,83
108,network operators,83
109,iot applications,83
110,emergency response,83
111,cs education,83
112,software defined,83
113,opportunities students,82
114,thrusts first,82
115,mobile users,82
116,network mentors,82
117,mentors researchers,82
118,improve performance,81
119,cyber-physical system,81
120,computer security,81
121,analysis techniques,81
122,transportation systems,81
123,widely used,81
124,smart cities,80
125,under-represented groups,80
126,locally regionally,80
127,mobile applications,79
128,application domains,79
129,better understand,79
130,computing resources,79
131,first thrust,79
132,three main,79
133,science education,79
134,sites strengthen,79
135,strengthen locally,79
136,regionally contribute,79
137,open-source software,78
138,thrusts 1,77
139,national security,77
140,data structures,77
141,wireless systems,77
142,dynamic spectrum,76
143,applications including,76
144,network architecture,75
145,data management,75
146,cyber security,75
147,wireless communications,74
148,educational outreach,74
149,software hardware,74
150,computational thinking,74
151,computing infrastructure,73
152,data processing,73
153,improve security,73
154,better understanding,73
155,computer information,73
156,data privacy,72
157,take advantage,72
158,low cost,72
159,data science,72
160,societal impact,72
161,autonomous systems,72
162,privacy security,71
163,augmented reality,71
164,renewable energy,71
165,user experience,71
166,smart city,71
167,design implement,71
168,security properties,71
169,faculty students,71
170,social network,70
171,neural networks,69
172,cloud services,69
173,mobile computing,69
174,academia industry,69
175,significantly improve,69
176,video streaming,68
177,underrepresented minorities,68
178,iot systems,68
179,data storage,68
180,base stations,67
181,programming languages,67
182,data sharing,67
183,security guarantees,67
184,computing platforms,66
185,many applications,66
186,control theory,66
187,network infrastructure,66
188,activities include,65
189,network control,65
190,physical world,65
191,unmanned aerial,65
192,private data,65
193,wireless sensor,65
194,mobile device,64
195,brbrthe proposed,64
196,computing devices,64
197,wireless devices,64
198,developing techniques,64
199,virtual reality,63
200,software systems,63
201,performance computing,63
202,three years,63
203,network protocols,63
204,learning models,62
205,different types,62
206,building blocks,62
207,data sources,62
