phrase,frequency,amount
computer science,799,39820006.0
machine learning,631,50026393.0
cyber-physical systems,418,25853748.0
cloud computing,344,36925472.0
wireless networks,314,24345974.0
mobile devices,308,64396027.0
big data,301,35281867.0
internet things,211,25975118.0
data center,197,26635197.0
security privacy,190,42478481.0
deep learning,183,98844292.0
operating system,169,52948248.0
iot devices,163,61906262.0
data analytics,162,36703008.0
data collection,151,24950483.0
storage systems,149,31187018.0
resource allocation,145,61052504.0
computer systems,142,29822208.0
open source,140,24185220.0
access control,138,41421650.0
social media,138,46474452.0
computing systems,136,38823480.0
autonomous vehicles,135,45234260.0
embedded systems,130,30126133.0
energy consumption,130,30601531.0
edge computing,123,37237667.0
energy efficiency,120,51422664.0
service providers,115,40376780.0
technology transfer,114,49739319.0
wireless network,113,73482936.0
data analysis,111,49130347.0
operating systems,111,45610896.0
artificial intelligence,104,29106137.0
information technology,98,31364876.0
multiple local,97,37432660.0
resources networking,96,34338754.0
cyber physical,96,45620920.0
local teams,95,27554591.0
funding enable,94,54346222.0
social networks,94,52410205.0
groups transition,93,41529623.0
training modest,93,44207147.0
modest funding,93,72804853.0
marketplace becoming,93,39808517.0
marketplace sites,93,34106671.0
power consumption,92,32776127.0
transition technology,92,31164090.0
sensor data,92,32894421.0
infrastructure advice,92,54878130.0
computer vision,91,17341974.0
smart connected,87,55506183.0
differential privacy,87,32421532.0
physical systems,87,21635978.0
reinforcement learning,86,55700112.0
medical devices,85,44847825.0
cognitive radio,83,9144619.0
health care,83,43534164.0
data mining,82,43809905.0
sensor networks,82,52498018.0
critical infrastructure,81,29238665.0
public safety,81,33815579.0
privacy concerns,80,24540664.0
public health,79,65756320.0
smart grid,78,74478380.0
natural language,76,40584380.0
cellular networks,73,74104956.0
mobile users,69,27670541.0
computing infrastructure,68,44441007.0
network security,66,34540396.0
dynamic spectrum,65,39122513.0
cyber security,65,27436840.0
computer information,64,69862761.0
network architecture,56,51740701.0
covid-19 pandemic,54,32683534.0
power systems,54,50217061.0
edge devices,45,39496218.0
hardware embedded,35,13174537.0
internet architecture,29,41353759.0
spatial mismatch,28,64938769.0
information manipulation,23,90949689.0
