,phrase,frequency,amount,year
5,wireless networks,39,4513495.0,2015
12,wireless networks,20,4844730.0,2016
2,wireless networks,68,1038381.0,2017
7,wireless networks,40,18075575.0,2018
5,wireless networks,45,4404909.0,2020
14,wireless networks,28,6651177.0,2019
7,wireless networks,29,15092504.0,2014
21,storage systems,12,6379138.0,2019
9,storage systems,33,12581278.0,2018
15,storage systems,15,4974063.0,2015
17,storage systems,18,37762903.0,2020
13,storage systems,13,23991355.0,2014
19,storage systems,9,2454378.0,2016
8,storage systems,30,1623347.0,2017
22,social media,8,13308350.0,2018
17,social media,21,42481190.0,2019
13,social media,20,9818924.0,2016
17,social media,18,21631150.0,2017
9,social media,34,17774023.0,2020
17,social media,8,10815021.0,2014
18,security privacy,17,6148148.0,2020
5,security privacy,38,6873648.0,2019
15,security privacy,22,2020916.0,2017
8,security privacy,34,2877158.0,2018
11,security privacy,21,9116523.0,2015
12,security privacy,14,5789273.0,2014
17,security privacy,11,10575618.0,2016
16,resource allocation,25,9923489.0,2019
16,resource allocation,11,198247.0,2016
9,resource allocation,30,8878136.0,2017
20,resource allocation,12,6428864.0,2018
9,resource allocation,24,2616289.0,2014
16,resource allocation,14,774998.0,2015
21,resource allocation,12,6411047.0,2020
7,reinforcement learning,38,12009129.0,2020
22,reinforcement learning,9,1216404.0,2017
16,reinforcement learning,19,10289527.0,2018
19,reinforcement learning,17,6022110.0,2019
22,public safety,12,6249413.0,2019
23,public safety,7,3443807.0,2018
18,public safety,8,5160921.0,2014
26,public safety,3,5136936.0,2020
21,public safety,10,5321174.0,2017
5,public safety,35,3585276.0,2016
19,physical systems,7,6115275.0,2014
19,physical systems,11,4433460.0,2017
24,physical systems,5,53762867.0,2019
20,physical systems,8,8862877.0,2016
24,physical systems,5,23640837.0,2020
24,physical systems,6,26690517.0,2018
7,physical systems,31,24048051.0,2015
13,operating system,20,11160080.0,2018
18,operating system,17,6887105.0,2019
12,operating system,20,6141982.0,2015
22,operating system,11,4267903.0,2020
9,operating system,29,9011521.0,2016
12,operating system,24,5113819.0,2017
4,mobile devices,42,1764511.0,2016
2,mobile devices,51,1221515.0,2015
