award_id,title,amount,institution,effective_date,expiration_date,abstract,program_element_code,program_element_name,directorate,division_code,division_name,investigator,state_name,state_code,ProgramReference
2000302,"['design', 'in-line', 'controllers', 'continuously', 'operating', 'networks', 'structural', 'uncertainty']",344623,University of Minnesota-Twin Cities,06/06/2019,07/31/2022,"['focuses', 'designing', 'control', 'mechanisms', 'networked', 'system', 'unknown', 'structure', 'making', 'use', 'non-invasive', 'observations', 'non-invasive', 'observations', 'meant', 'measured', 'system', 'reaction', 'actively', 'injected', 'inputs', 'rather', 'system', 'behavior', 'operating', 'standard', 'conditions', 'subject', 'potentially', 'unobservable', 'forcing', 'signals', 'capability', 'designing', 'controllers', 'based', 'non-invasive', 'observations', 'paramount', 'importance', 'scale', 'network', 'fulfilling', 'critical', 'uninterruptible', 'functions', 'ie', 'power', 'grid', 'logistic', 'system', 'situations', 'impractical', 'expensive', 'inject', 'known', 'probing', 'signals', 'system', 'ie', 'gene', 'network', 'financial', 'network', 'relevant', 'applications', 'medicine', 'ie', 'repeated', 'drug', 'testing', 'computer-', 'assisted', 'anesthesia', 'indeed', 'cases', 'obvious', 'safety', 'health', 'concerns', 'desirable', 'actively', 'test', 'response', 'patient', 'different', 'drug', 'dosage', 'treatment', 'comparably', 'useful', 'information', 'could', 'inferred', 'non-invasive', 'observationsbrbrsince', 'non-invasive', 'observations', 'always', 'provide', 'full', 'information', 'networks', 'configuration', 'consider', 'define', 'adequate', 'control', 'mechanisms', 'robust', 'respect', 'uncertainties', 'connectivity', 'structure', 'kinds', 'uncertainties', 'typically', 'considered', 'standard', 'techniques', 'control', 'design', 'development', 'specific', 'methodologies', 'required', 'combined', 'capability', 'adapting', 'changes', 'networks', 'configuration', 'control', 'techniques', 'provide', 'solid', 'realization', 'self-healing', 'system', 'bridge', 'different', 'areas', 'including', 'statistics', 'computer', 'science', 'control', 'theory', 'single', 'unifying', 'framework', 'courses', 'created', 'facilitate', 'communication', 'among', 'researchers', 'advancing', 'separate', 'fields', 'multidisciplinary', 'way']",1714,Special Projects - CNS,CSE,CNS,Division Of Computer and Network Systems,Donatello Materassi,Minnesota,MN,"['CAREER-Faculty Erly Career Dev', 'CYBER-PHYSICAL SYSTEMS (CPS)', 'EXP PROG TO STIM COMP RES']"
2000488,"['gpu-accelerated', 'multi-display', 'applications', 'computer-aide', 'design', 'cad', 'model', 'visualization', 'commodity', 'desktop']",7965,Rochester Institute of Tech,08/13/2019,01/31/2020,"['focuses', 'utilizing', 'parallel', 'architectures', 'within', 'graphical', 'processing', 'units', 'gpus', 'fill', 'need', 'real-time', 'interaction', 'datasets', 'computer-aided', 'design', 'cad', 'systems', 'gpu-accelerated', 'multi-display', 'applications', 'visualizing', '3d', 'datasets', 'important', 'scientific', 'discoveries', 'dynamic', 'investigations', 'complex', 'digital', 'contents', 'rely', 'visualization', 'results', 'favoring', 'latencies', 'measured', 'milliseconds', 'rather', 'seconds', 'rich', 'information', 'displayed', 'high-resolution', 'multiple', 'screens', 'potential', 'work', 'end-to-end', 'solution', 'visualizing', '3d', 'datasets', 'commodity', 'desktop', 'providing', 'high-speed', 'interactions', 'visual', 'explorations', 'datasets', 'advantage', 'cost', 'savingsbrbreven', 'specifically', 'algorithms', 'visualization', 'systems', 'developed', 'allow', 'engineers', 'designers', 'interactively', 'create', 'change', 'visually', 'analyze', 'datasets', 'providing', 'parallel', 'computational', 'visualization', 'cad', 'possible', 'students', 'involved', 'trained', 'principles', 'uses', 'advanced', 'computer', 'designing', 'implementing', 'gpu', 'algorithms', 'addition', 'creating', 'applications', 'make', 'good', 'use', 'gpus', 'interactive', 'learning', 'especially', 'graphics-assisted', 'multi-dimensional', 'educational', 'applications', 'providing', 'breakthrough', 'technology', 'increase', 'performance', 'educational', 'applications', 'displaying', 'complex', 'graphical', 'contentsbrbrtraditionally', 'acceleration', 'algorithms', 'rendering', 'eg', 'view-dependent', 'mesh', 'simplification', 'implemented', 'sequentially', 'visualization', 'applications', 'suitable', 'fast', 'processing', 'model', 'composed', 'amount', 'geometric', 'primitives', 'algorithms', 'developed', 'primitive-level', 'parallelization', 'gpus', 'enable', 'dynamic', 'adjustments', 'detail', 'levels', '3d', 'meshes', 'upon', 'changes', 'camera', 'configurations', 'though', 'multi-gpu', 'applications', 'commercially', 'load-balancing', 'issues', 'among', 'gpus', 'successfully', 'addressed', 'imbalanced', 'workload', 'distributions', 'hurt', 'overall', 'performance', 'affect', 'quality', 'mesh', 'renderings', 'develop', 'screen-partitioning', 'balancer', 'balance', 'gpu', 'workloads', 'employ', 'pipelined', 'approach', 'conduct', 'gpu-to-gpu', 'cpu-to-gpu', 'streaming', 'efficient', 'data', 'management', 'efficiencies', 'inter-device', 'communications', 'given', 'in-depth']",7354,CSR-Computer Systems Research,CSE,CNS,Division Of Computer and Network Systems,Chao Peng,New York,NY,"['CISE Resrch Initiatn Initiatve', 'EXP PROG TO STIM COMP RES']"
2000681,"['subtle', 'harmful', 'millisecond-scale', 'viral', 'denial', 'service', 'vdos', 'attacks']",200000,Louisiana State University,04/01/2020,03/31/2022,"['viral', 'denial', 'service', 'vdos', 'attacks', 'class', 'attacks', 'affect', 'quality', 'service', 'qos', 'requirements', 'critical', 'web-facing', 'services', 'attacks', 'exploit', 'milli-bottlenecks', 'resource', 'saturation', 'conditions', 'short', 'duration', 'result', 'accumulated', 'queueing', 'delay', 'resources', 'among', 'inter-dependent', 'components', 'n-tier', 'applications', 'used', 'services', 'attacker', 'launch', 'attack', 'either', 'increasing', 'rate', 'submission', 'job', 'requests', 'rate', 'arrival', 'service', 'providers', 'perspective', 'decreasing', 'rate', 'job', 'processing', 'submitting', 'jobs', 'resource', 'intensive', 'owing', 'short', 'duration', 'vdos', 'attacks', 'order', 'several', 'milliseconds', 'remain', 'detection', 'threshold', 'typical', 'monitoring', 'tools', 'traditional', 'denial', 'service', 'attacks', 'consequently', 'subtle', 'stealthy', 'nonetheless', 'potential', 'cause', 'significant', 'damage', 'example', 'amazon', 'reported', 'every', '100ms', 'increase', 'page', 'load', 'time', 'correlated', 'decrease', 'sales', '1', 'google', 'requires', '99', 'queries', 'finish', 'within', '500ms', 'investigate', 'nature', 'modalities', 'vdos', 'attacks', 'develop', 'mitigation', 'tools', 'help', 'combat', 'students', 'well', 'levels', 'involved', 'vdos', 'experimental', 'data', 'sets', 'well', 'tool-sets', 'related', 'conducting', 'vdos', 'related', 'experiments', 'releasedbrbrthe', 'proceed', 'along', 'two', 'tasks', 'first', 'large-scale', 'experiments', 'conducted', 'evaluate', 'interactions', 'among', 'various', 'control', 'parameters', 'vdos', 'attacks', 'study', 'identify', 'vdos', 'attacks', 'occur', 'external', 'manifestations', 'mathematically', 'modeled', 'tradeoffs', 'granularity', 'attack', 'damage', 'potential', 'fully', 'explored', 'second', 'based', 'knowledge', 'acquired', 'first', 'task', 'detection', 'methods', 'tools', 'developed', 'reproduce', 'andor', 'evaluate', 'known', 'millisecond-scale', 'vdos', 'attacks', 'testbed', 'find', 'ones', 'lead', 'mitigation', 'tools', 'combating', 'vdos', 'attacksbrbrthis', 'foundations']",8060,Secure &Trustworthy Cyberspace,CSE,CNS,Division Of Computer and Network Systems,Qingyang Wang,Louisiana,LA,"['SaTC: Secure and Trustworthy Cyberspace', 'EAGER', 'EXP PROG TO STIM COMP RES']"
2000792,"['self-adaptive', 'cyber', 'risk', 'management', 'via', 'machine', 'machine', 'economy', 'supported', 'blockchain', 'smart', 'contracts', 'technology']",750000,Arizona State University,10/01/2020,09/30/2023,"['advances', 'cybersecurity', 'scale', 'blockchain-enabled', 'internet', 'things', 'iot', 'systems', 'via', 'organization', 'machine', 'machine', 'm2m', 'economy', 'blockchain', 'decentralized', 'distributed', 'ledger', 'iot', 'system', 'interconnected', 'computing', 'devices', 'emergence', '5g', 'technology', 'accelerating', 'effect', 'm2m', 'economy', 'collection', 'machines', 'acting', 'economic', 'agents', 'autonomously', 'interact', 'sequences', 'transactions', 'blockchain', 'technology', 'enables', 'registry', 'transactions', 'whose', 'logic', 'articulated', 'coded', 'form', 'smart', 'contracts', 'technologies', 'transformational', 'potential', 'hold', 'promise', 'unprecedented', 'economic', 'growth', 'come', 'many', 'vulnerabilities', 'contributes', 'progress', 'science', 'advancement', 'prosperity', 'welfare', 'securing', 'national', 'defense', 'mechanism', 'enable', 'security', 'cost', 'efficient', 'interactions', 'm2m', 'platforms', 'idea', 'design', 'market', 'incentives', 'services', 'among', 'machines', 'bought', 'sold', 'based', 'cost', 'cyber-riskiness', 'devices', 'providing', 'servicesbrbrthe', 'envisions', 'decentralized', 'systems', 'self-adapting', 'cyber-risk', 'facilitate', 'security', 'cost', 'efficient', 'interactions', 'platforms', 'based', 'blockchain', 'iot', 'challenges', 'lack', 'real-time', 'market', 'design', 'self-optimization', 'mechanisms', 'scalable', 'approaches', 'real-time', 'attack', 'identification', 'across', 'programs', 'high-level', 'logics', 'c', 'methods', 'assess', 'm2m', 'specific', 'attack', 'impact', 'responding', 'challenges', 'interprets', 'problem', 'creating', 'cyber-secure', 'economically', 'efficient', 'iotblockchain-based', 'ecosystem', 'one', 'designing', 'large-scale', 'interconnected', 'markets', 'markets', 'price', 'adjustment', 'mechanism', 'may', 'discriminate', 'based', 'real-time', 'cyber-risk', 'collectively', 'markets', 'give', 'rise', 'overall', 'emergent', 'property', 'cyber-risks', 'economic', 'efficiency', 'self-adaptive', 'optimization', 'vulnerability', 'assessment', 'key', 'generate', 'cyber-risk', 'price', 'appropriate', 'adjustments', 'comprehensively', 'assesses', 'm2m', 'specific', 'vulnerabilities', 'articulating', 'attack', 'graphs', 'hence', 'contributing', 'characterizing', 'cyber-risk', 'decentralized', 'applications', 'smart', 'contract', 'platforms', 'tools', 'random', 'graph', 'theory', 'percolation', 'theory', 'provides', 'representative', 'mathematical', 'framework', 'understanding', 'cyber-risk', 'iotblockchain-based', 'ecosystem', 'finally', 'showcase', 'applies', 'proposed', 'mechanism', 'use', 'case', 'large-scale', 'personalized', 'treatment', 'deliverybrbrthis', 'foundations']",8060,Secure &Trustworthy Cyberspace,CSE,CNS,Division Of Computer and Network Systems,Nicolas Lanchier,Arizona,AZ,"['SaTC: Secure and Trustworthy Cyberspace', 'Human factors for security research', 'Artificial Intelligence (AI)', 'CNCI', 'MEDIUM PROJECT']"
2000986,"['optimization', 'framework', 'identifying', 'dynamic', 'risk', 'management', 'practices']",1200000,University of Wisconsin-Madison,10/01/2020,09/30/2024,"['enormously', 'challenging', 'organizations', 'protect', 'information', 'technology', 'systems', 'myriad', 'risks', 'vulnerabilities', 'exist', 'organizations', 'reduce', 'vulnerabilities', 'implementing', 'security', 'controls', 'protect', 'critical', 'systems', 'risk', 'responding', 'alerts', 'reports', 'logs', 'nonetheless', 'major', 'challenges', 'protecting', 'systems', 'involve', 'determining', 'right', 'combination', 'mechanisms', 'deploy', 'resource-constrained', 'environment', 'identifying', 'roll', 'security', 'controls', 'right', 'time', 'right', 'resources', 'aimed', 'increasing', 'efficiency', 'security', 'controls', 'organizations', 'agencies', 'addresses', 'challenges', 'introducing', 'analyzing', 'optimization', 'framework', 'choice', 'implementation', 'security', 'procedures', 'contribute', 'optimization', 'literature', 'field', 'operations', 'links', 'operations', 'securitybr', 'br', 'supports', 'forward-looking', 'dynamic', 'defensive', 'strategies', 'uncertain', 'environments', 'potential', 'achieve', 'levels', 'security', 'without', 'corresponding', 'increase', 'costs', 'achieve', 'goal', 'explores', 'optimization', 'framework', 'used', 'prescribe', 'dynamic', 'protection', 'response', 'policies', 'protect', 'systems', 'effective', 'given', 'uncertain', 'future', 'events', 'reduce', 'risk', 'complex', 'environments', 'span', 'people', 'processes', 'infrastructure', 'adds', 'models', 'literature', 'draw', 'integer', 'programming', 'multi-stage', 'stochastic', 'programming', 'adversarial', 'risk', 'analysis', 'network', 'games', 'solving', 'models', 'extremely', 'challenging', 'therefore', 'explores', 'algorithmic', 'techniques', 'identify', 'optimal', 'near-optimal', 'model', 'solutions', 'advances', 'understanding', 'dynamically', 'allocate', 'resources', 'secure', 'systems', 'uncertain', 'environment', 'integrates', 'education', 'train', 'future', 'workforce', 'cybersecurity', 'comprehensive', 'computing', 'highlights', 'researchers', 'efforts', 'commitment', 'diversity', 'inclusionbrbrthis', 'foundations']",8060,Secure &Trustworthy Cyberspace,CSE,CNS,Division Of Computer and Network Systems,James Luedtke,Wisconsin,WI,"['SaTC: Secure and Trustworthy Cyberspace', 'Human factors for security research', 'Artificial Intelligence (AI)', 'CNCI', 'MEDIUM PROJECT', 'WOMEN, MINORITY, DISABLED, NEC']"
2001026,"['rethinking', 'access', 'pattern', 'privacy', 'theory', 'practice']",640348,Cornell University,10/01/2020,04/30/2021,"['program', 'accesses', 'data', 'stored', 'memory', 'disk', 'remote', 'server', 'access', 'patterns', 'leak', 'information', 'secret', 'inputs', 'data', 'decades', 'work', 'investigated', 'prevent', 'programs', 'leaking', 'information', 'making', 'access', 'patterns', 'oblivious', 'ie', 'independent', 'execution', 'motivated', 'significant', 'overhead', 'past', 'techniques', 'incur', 'introduces', 'investigates', 'relaxed', 'notions', 'access', 'pattern', 'obliviousness', 'discovers', 'algorithms', 'achieve', 'notions', 'significantly', 'reduced', 'overhead', 'includes', 'training', 'phd', 'students', 'postdoctoral', 'researchers', 'mentoring', 'activities', 'focused', 'studentsbr', 'brthis', 'rethinks', 'definition', 'access', 'pattern', 'privacy', 'considers', 'limited', 'notion', 'called', 'differential', 'obliviousness', 'analogy', 'differential', 'privacy', 'differential', 'obliviosness', 'requires', 'access', 'patterns', 'resulting', 'executing', 'program', 'similar', 'inputs', 'hard', 'distinguish', 'establishes', 'theoretical', 'understanding', 'including', 'lower', 'upper', 'bounds', 'extent', 'various', 'notions', 'obliviosness', 'impact', 'performance', 'programs', 'investigators', 'explore', 'practical', 'performance', 'privacy-preserving', 'algorithms', 'cloud', 'outsourcing', 'database', 'scenarios', 'develops', 'open-source', 'libraries', 'differentially', 'oblivious', 'algorithms', 'data', 'structuresbrbrthis', 'foundations']",8060,Secure &Trustworthy Cyberspace,CSE,CNS,Division Of Computer and Network Systems,Rafael N Pass,New York,NY,"['SaTC: Secure and Trustworthy Cyberspace', 'MEDIUM PROJECT', 'WOMEN, MINORITY, DISABLED, NEC']"
2001082,"['exploring', 'boundaries', 'large-scale', 'secure', 'computation']",199917,Texas A&M Engineering Experiment Station,07/01/2020,06/30/2023,"['capability', 'connectivity', 'communication', 'networks', 'scale', 'existing', 'secure', 'distributed', 'protocols', 'need', 'resort', 'frugal', 'use', 'communication', 'resources', 'ensure', 'scalability', 'secure', 'multi-party', 'computation', 'mpc', 'allows', 'set', 'mutually', 'distrustful', 'parties', 'perform', 'arbitrary', 'computations', 'joint', 'inputs', 'secure', 'way', 'even', 'presence', 'malicious', 'participants', 'attackers', 'epitomizes', 'kind', 'secure', 'distributed', 'computation', 'despite', 'great', 'improvements', 'communication', 'metrics', 'last', 'decade', 'existing', 'solutions', 'scale', 'well', 'settings', 'participants', 'involved', 'one', 'reasons', 'standard', 'mpc', 'protocols', 'every', 'party', 'needs', 'directly', 'communicate', 'parties', 'yielding', 'protocols', 'communication', 'costs', 'recently', 'attempts', 'address', 'issue', 'carry', 'mpc', 'lower', 'communication', 'costs', 'projects', 'put', 'forth', 'systematic', 'study', 'type', 'mpc', 'protocols', 'call', 'communication-frugal', 'mpc', 'cf-mpc', 'advance', 'theoretical', 'foundations', 'meet', 'art', 'comparable', 'standard', 'mpc', 'era', 'computation', 'data', 'become', 'dominant', 'application', 'exploration', 'central', 'importance', 'theory', 'practicebrbrthe', 'projects', 'novelties', 'include', '1', 'development', 'rigorous', 'composable', 'cryptographic', 'model', 'capturing', 'cf-mpc', '2', 'feasibility', 'study', 'cf-mpc', 'optimal', 'resiliency', 'ie', 'maximal', 'potentially', 'malicious', 'participants', 'tolerated', 'across', 'standard', 'communication', 'adversary', 'models', 'synchronous', 'vs', 'asynchronous', 'static', 'vs', 'adaptive', '3', 'improved', 'constructions', 'additional', 'communication', 'metrics', 'message', 'bit', 'round', 'complexity', 'train', 'studentsbrbrthis', 'foundations']",8060,Secure &Trustworthy Cyberspace,CSE,CNS,Division Of Computer and Network Systems,Juan A Garay,Texas,TX,"['SaTC: Secure and Trustworthy Cyberspace', 'SMALL PROJECT']"
2001124,"['rethinking', 'hpc', 'resilience', 'exascale', 'era']",293764,Purdue University,08/12/2019,12/31/2022,"['resilience', 'one', 'key', 'exascale', 'challenges', 'high-performancebrcomputing', 'hpc', 'due', 'much', 'error', 'rates', 'exascale', 'supercomputers', 'couldbrmake', 'little', 'progress', 'computations', 'might', 'generate', 'incorrect', 'results', 'due', 'tobrfailures', 'rendering', 'exascale', 'performance', 'useless', 'thebrchallenge', 'achieve', 'complete', 'hpc', 'resilience', 'exascale', 'way', 'thatbrdoes', 'increase', 'performance', 'overhead', 'power', 'consumption', 'thebrcomplexity', 'underlying', 'hardware', 'end', 'designsbrand', 'develops', 'low-cost', 'hardwaresoftware', 'cooperative', 'techniques', 'hpcbrresilience', 'exascale', 'era', 'brbrthis', 'involves', 'four', 'goals', '1', 'low-cost', 'soft', 'error', 'resiliencebrfor', 'cpus', 'intelligent', 'compiler-architecture', 'interaction', 'validate', 'lack', 'ofbrerrors', 'performs', 'fine-grained', 'recovery', 'thus', 'eliminating', 'sdc', '2brcompiler-directed', 'soft', 'error', 'resilience', 'commodity', 'gpus', 'remove', 'thebrpower-hungry', 'error-correcting', 'code', 'ecc', 'logic', 'gpu', 'register', 'filesbrwithout', 'compromising', 'resilience', '3', 'lightweight', 'nonvolatile', 'memory', 'nvmbrpersistence', 'mitigate', 'overhead', 'traditional', 'heavyweight', 'hpcbrcheckpointing', 'whole-system', 'persistence', 'applications', 'withoutbrirrevocable', 'operations', '4', 'low-cost', 'timing', 'error', 'resilience', 'aggressivebrvoltage', 'scaling', 'maximize', 'energy-efficiency', 'program', 'correctnessbrguaranteebrbrthe', 'resulting', 'artifacts', 'technologies', 'expected', 'contribute', 'thebrnations', 'competitiveness', 'addressing', 'building', 'reliable', 'hpcbrsystems', 'outcome', 'broad', 'disciplines', 'thatbrneed', 'correct', 'computation', 'results', 'thus', 'requiring', 'reliable', 'computing', 'systemsbrcovering', 'embedded', 'systems', 'hpc', 'cloud', 'consequently', 'use', 'proposedbrtechniques', 'make', 'execution', 'current', 'emerging', 'applications', 'muchbrmore', 'reliable', 'therefore', 'directly', 'affect', 'way', 'lifebrbrthere', 'three', 'types', 'data', 'generated', '1bralgorithms', 'models', '2', 'software', 'prototype', '3', 'testing', 'infrastructurebrincluding', 'simulators', 'benchmarks', 'traces', '4', 'educationalbrmaterials', 'software', 'tools', 'open', 'source', 'tobrthe', 'public', 'laboratories', 'industry']",1714,Special Projects - CNS,CSE,CNS,Division Of Computer and Network Systems,Changhee Jung,Indiana,IN,['CAREER-Faculty Erly Career Dev']
2001161,"['reducing', 'container', 'kernel', 'attack', 'surface', 'tracks']",1200000,New York University,10/01/2020,09/30/2024,"['infrastructure', 'powers', 'modern', 'cloud', 'computing', 'environments', 'uses', 'isolated', 'environments', 'called', 'containers', 'help', 'keep', 'users', 'data', 'safe', 'unfortunately', 'containers', 'still', 'vulnerable', 'flaws', 'core', 'operating', 'system', 'linux', 'kernel', 'used', 'compromise', 'security', 'integrity', 'container', 'environments', 'tracks', 'trimming', 'augments', 'container', 'kernel', 'security', 'strengthen', 'security', 'container', 'environments', 'hardening', 'linux', 'kernel', 'projects', 'novelties', 'use', 'frequently', 'code', 'encountered', 'way', 'measure', 'likely', 'security', 'flaws', 'prior', 'nsf-supported', 'found', 'frequently-used', 'code', 'less', 'likely', 'serious', 'security', 'vulnerabilities', 'tracks', 'transition', 'security', 'metric', 'practice', 'placing', 'security', 'monitoring', 'additional', 'checks', 'portions', 'linux', 'kernel', 'likely', 'vulnerable', 'working', 'incorporate', 'kernels', 'real-world', 'cloud', 'environments', 'one', 'benefit', 'approach', 'since', 'checks', 'placed', 'code', 'rarely', 'used', 'additional', 'security', 'comes', 'low', 'performance', 'cost', 'projects', 'expected', 'significant', 'improvement', 'security', 'containers', 'linux', 'kernel', 'turn', 'help', 'protect', 'safety', 'privacy', 'millions', 'usersbrbrtracks', 'works', 'first', 'profiling', 'execution', 'linux', 'kernel', 'variety', 'common', 'container', 'workloads', 'creating', 'profile', 'commonly', 'executed', 'code', 'paths', 'least', 'commonly', 'used', 'code', 'instrumented', 'llvm-based', 'compiler', 'pass', 'according', 'user-defined', 'policies', 'insert', 'logging', 'add', 'exploit', 'mitigations', 'bounds', 'checking', 'control', 'flow', 'integrity', 'even', 'trigger', 'shut', 'container', 'rare', 'code', 'encountered', 'prior', 'work', 'investigators', 'found', 'around', '95', 'kernel', 'vulnerabilities', 'located', 'rarely', 'executed', 'code', 'result', 'investigators', 'expect', 'creating', 'hardened', 'kernels', 'working', 'cloud', 'infrastructure', 'providers', 'incorporate', 'production', 'environments', 'significant', 'improvement', 'cloud', 'container', 'security', 'achievedbrbrthis', 'foundations']",8060,Secure &Trustworthy Cyberspace,CSE,CNS,Division Of Computer and Network Systems,,,,"['SaTC: Secure and Trustworthy Cyberspace', 'MEDIUM PROJECT']"
2001470,"['classical', 'quantum', 'algorithms', 'number-theoretic', 'problems', 'arising', 'cryptography']",500000,Pennsylvania State Univ University Park,05/01/2020,04/30/2023,"['concerned', 'questions', 'several', 'areas', 'cryptography', 'since', 'currently', 'used', 'cryptosystems', 'broken', 'quantum', 'computer', 'important', 'develop', 'alternatives', 'systems', 'resistant', 'quantum', 'computers', 'address', 'classical', 'post-quantum', 'security', 'systems', 'based', 'supersingular', 'isogenies', 'lattice-based', 'systems', 'proposed', 'replacements', 'currently', 'used', 'systems', 'seems', 'urgency', 'achieve', 'continued', 'progress', 'building', 'quantum', 'computers', 'takes', 'several', 'years', 'design', 'build', 'deploy', 'quantum', 'secure', 'infrastructure', 'another', 'deals', 'making', 'cryptosystems', 'efficient', 'important', 'practical', 'questions', 'addition', 'provide', 'training', 'opportunities', 'students', 'educational', 'component', 'pi', 'co-pi', 'teach', 'middle', 'girls', 'students', 'local', 'schools', 'cryptography', 'mathematical', 'background', 'pis', 'involvement', 'groups', 'women', 'mathematicians', 'provide', 'mentoring', 'underrepresented', 'groupsbrbrthe', 'first', 'concerned', 'classical', 'post-quantum', 'security', 'key-exchange', 'signature', 'schemes', 'based', 'isogenies', 'elliptic', 'curves', 'several', 'different', 'schemes', 'proposed', 'one', 'goal', 'analyze', 'compare', 'underlying', 'hardness', 'assumptions', 'different', 'schemes', 'address', 'possibility', 'generalizing', 'schemes', 'supersingular', 'elliptic', 'curves', 'supersingular', 'abelian', 'varieties', 'dimension', '2', 'second', 'concerned', 'making', 'systems', 'currently', 'used', 'efficient', 'involve', 'finding', 'efficient', 'algorithms', 'constructing', 'curves', 'last', 'studies', 'security', 'lattice-based', 'systems', 'lattice-based', 'cryptosystem', 'called', 'soliloquy', 'recently', 'broken', 'quantum', 'computer', 'important', 'determine', 'lattice-based', 'systems', 'systems', 'based', 'ring-lwe', 'broken', 'quantum', 'computers', 'well', 'ring-lwe', 'problem', 'significant', 'cryptographic', 'constructions', 'including', 'fully', 'homomorphic', 'encryption', 'based', 'itbrbrthis', 'foundations']",8060,Secure &Trustworthy Cyberspace,CSE,CNS,Division Of Computer and Network Systems,Sean J Hallgren,Pennsylvania,PA,"['SaTC: Secure and Trustworthy Cyberspace', 'SMALL PROJECT', 'WOMEN, MINORITY, DISABLED, NEC']"
