,phrase,frequency,amount,year
7,wireless networks,40,8715724.0,2018
5,wireless networks,45,2441735.0,2020
3,wireless networks,38,9863016.0,2021
14,wireless networks,28,6651177.0,2019
5,wireless networks,39,5615532.0,2015
2,wireless networks,68,5321174.0,2017
8,storage systems,30,16854841.0,2017
17,storage systems,18,13009129.0,2020
23,storage systems,4,24060744.0,2021
21,storage systems,12,6873648.0,2019
9,storage systems,33,7424073.0,2018
15,storage systems,15,6041037.0,2015
19,storage systems,9,3170489.0,2016
17,social media,21,20447244.0,2019
13,social media,20,10240751.0,2016
17,social media,18,10936451.0,2017
10,social media,23,741540.0,2015
22,social media,8,4503909.0,2018
9,social media,22,3047245.0,2021
9,social media,34,2819968.0,2020
17,security privacy,11,14490961.0,2016
7,security privacy,24,3940842.0,2021
8,security privacy,34,11160080.0,2018
5,security privacy,38,6970542.0,2019
11,security privacy,21,2295655.0,2015
18,security privacy,17,1915270.0,2020
15,security privacy,22,8878136.0,2017
16,resource allocation,25,5596447.0,2019
21,resource allocation,12,4404909.0,2020
9,resource allocation,30,6357278.0,2017
20,resource allocation,12,23934854.0,2018
16,resource allocation,11,601500.0,2016
17,resource allocation,9,10288015.0,2021
16,resource allocation,14,818875.0,2015
19,reinforcement learning,17,3734130.0,2019
20,reinforcement learning,6,22997083.0,2021
7,reinforcement learning,38,6148148.0,2020
22,reinforcement learning,9,4433460.0,2017
16,reinforcement learning,19,2877158.0,2018
22,public safety,12,6022110.0,2019
5,public safety,35,5525000.0,2016
22,public safety,5,2085091.0,2021
23,public safety,7,26690517.0,2018
21,public safety,10,8655626.0,2017
25,public safety,3,9608525.0,2020
24,physical systems,5,4950149.0,2020
20,physical systems,8,10575618.0,2016
7,physical systems,31,5834029.0,2015
24,physical systems,5,3195365.0,2019
24,physical systems,6,5495535.0,2018
19,physical systems,11,2020916.0,2017
22,operating system,11,2546014.0,2020
18,operating system,9,643759.0,2021
18,operating system,17,4092360.0,2019
13,operating system,20,6060251.0,2018
9,operating system,29,12619506.0,2016
15,mobile devices,26,24031701.0,2019
19,mobile devices,16,2358822.0,2020
2,mobile devices,51,1524999.0,2015
4,mobile devices,42,2452330.0,2016
6,mobile devices,26,4622502.0,2021
10,mobile devices,28,1216404.0,2017
2,mobile devices,55,7717938.0,2018
0,machine learning,181,523558.0,2020
0,machine learning,121,3443807.0,2018
3,machine learning,43,11940039.0,2016
0,machine learning,122,10644671.0,2019
9,machine learning,29,8024988.0,2015
1,machine learning,104,17106423.0,2021
1,machine learning,80,2882140.0,2017
6,iot devices,35,9012207.0,2017
18,iot devices,10,6141982.0,2015
13,iot devices,17,2217949.0,2021
6,iot devices,41,6428864.0,2018
8,iot devices,38,14969441.0,2020
18,iot devices,10,4844730.0,2016
11,iot devices,29,2464092.0,2019
8,internet things,29,14354804.0,2015
10,internet things,23,1199993.0,2016
3,internet things,51,18075575.0,2018
11,internet things,29,3313459.0,2020
8,internet things,32,10798726.0,2019
10,internet things,21,6660553.0,2021
5,internet things,38,3304245.0,2017
11,embedded systems,25,7791731.0,2017
14,embedded systems,15,5015979.0,2015
15,embedded systems,12,9011521.0,2016
19,embedded systems,8,4755491.0,2021
19,embedded systems,13,4460667.0,2018
20,embedded systems,12,37762903.0,2020
6,embedded systems,34,6585055.0,2019
11,edge computing,19,481932.0,2021
15,edge computing,19,12581278.0,2018
4,edge computing,50,5136936.0,2020
18,edge computing,15,5113819.0,2017
4,edge computing,39,3390768.0,2019
4,deep learning,41,4298991.0,2017
5,deep learning,43,4444235.0,2018
4,deep learning,36,3545286.0,2021
3,deep learning,40,19114244.0,2019
2,deep learning,56,6411047.0,2020
21,deep learning,3,3585276.0,2016
18,data collection,15,5624242.0,2018
13,data collection,15,9116523.0,2015
2,data collection,39,4800550.0,2021
16,data collection,19,6373333.0,2020
20,data collection,11,21631150.0,2017
11,data collection,22,1764511.0,2016
9,data collection,32,4632116.0,2019
14,data center,17,7963764.0,2016
16,data center,20,1623347.0,2017
6,data center,34,10327075.0,2015
20,data center,16,42481190.0,2019
15,data center,21,17774023.0,2020
21,data center,5,9862630.0,2021
13,data analytics,24,11398691.0,2017
13,data analytics,29,4473766.0,2020
7,data analytics,30,5627655.0,2016
17,data analytics,16,21133421.0,2018
13,data analytics,29,5226644.0,2019
15,data analytics,16,7976561.0,2021
17,data analytics,13,29435579.0,2015
12,cyber-physical systems,29,6813355.0,2020
2,cyber-physical systems,60,6379138.0,2019
0,cyber-physical systems,69,563956.0,2015
2,cyber-physical systems,49,1707861.0,2016
14,cyber-physical systems,16,2518871.0,2021
7,cyber-physical systems,34,10400929.0,2017
4,cyber-physical systems,48,2772948.0,2018
3,covid-19 pandemic,54,12009129.0,2020
23,computer vision,12,53762867.0,2019
23,computer vision,7,37493917.0,2017
21,computer vision,10,8175860.0,2018
8,computer vision,29,9818924.0,2016
12,computer vision,18,296915.0,2021
23,computer vision,10,23640837.0,2020
19,computer vision,3,4974063.0,2015
1,computer science,57,774998.0,2015
0,computer science,107,1155610.0,2021
1,computer science,81,10289527.0,2018
0,computer science,52,5163183.0,2016
1,computer science,161,10575461.0,2020
0,computer science,108,2615465.0,2017
1,computer science,90,9923489.0,2019
10,cloud computing,32,13308350.0,2018
8,cloud computing,23,8987914.0,2021
10,cloud computing,31,4267903.0,2020
10,cloud computing,30,6249413.0,2019
6,cloud computing,31,8862877.0,2016
3,cloud computing,44,24048051.0,2015
